Name|Full Name|Sector|Sub Sector|Market|Website
HTC|HAAD THIP PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|sSET / SETTHSI|www.haadthip.com
HTECH|HALCYON TECHNOLOGY PUBLIC COMPANY LIMITED|Industrials|Industrial Materials & Machinery|SET|www.halcyon.co.th
HUMAN|HUMANICA PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|sSET|www.humanica.com
ICC|I.C.C. INTERNATIONAL PUBLIC COMPANY LIMITED|Consumer Products|Fashion|SET|www.icc.co.th
ICHI|ICHITAN GROUP PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|sSET / SETCLMV|www.ichitangroup.com
IFS|IFS CAPITAL (THAILAND) PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET|www.ifscapthai.com
IHL|INTERHIDES PUBLIC COMPANY LIMITED|Industrials|Automotive|SET|www.interhides.com
III|TRIPLE I LOGISTICS PUBLIC COMPANY LIMITED|Services|Transportation & Logistics|sSET|www.iii-logistics.com
ILINK|INTERLINK COMMUNICATION PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|sSET|www.interlink.co.th
ILM|INDEX LIVING MALL PUBLIC COMPANY LIMITED|Services|Commerce|sSET|www.indexlivingmall.com
IMH|INTERMEDICAL CARE AND LAB HOSPITAL PUBLIC COMPANY LIMITED|Services|Services|mai|www.intermedthai.com/
IMPACT|IMPACT GROWTH REAL ESTATE INVESTMENT TRUST|Property & Construction|Property Fund & REITs|SET|www.impactgrowthreit.com
INGRS|INGRESS INDUSTRIAL (THAILAND) PUBLIC COMPANY LIMITED|Industrials|Automotive|SET|www.ingress.co.th
INET|INTERNET THAILAND PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|SET|www.inet.co.th
INOX|POSCO-THAINOX PUBLIC COMPANY LIMITED|Industrials|Steel and Metal Products|SET|www.poscothainox.com
INSET|INFRASET PUBLIC COMPANY LIMITED|Technology|Technology|mai|www.infraset.co.th
INTUCH|INTOUCH HOLDINGS PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|SET50 / SETCLMV / SETHD / SETTHSI|www.intouchcompany.com
IP|INTER PHARMA PUBLIC COMPANY LIMITED|Consumer Products|Consumer Products|mai|www.interpharma.co.th
IRC|INOUE RUBBER (THAILAND) PUBLIC COMPANY LIMITED|Industrials|Automotive|SET|www.ircthailand.com
IRPC|IRPC PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET50 / SETCLMV / SETTHSI|https://www.irpc.co.th
IVL|INDORAMA VENTURES PUBLIC COMPANY LIMITED|Industrials|Petrochemicals & Chemicals|SET50 / SETTHSI|www.indoramaventures.com
J|JAS ASSET PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET|www.jasasset.co.th
JAS|JASMINE INTERNATIONAL PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|SET|www.jasmine.com
JASIF|JASMINE BROADBAND INTERNET INFRASTRUCTURE FUND|Technology|Information & Communication Technology|SET|www.jas-if.com
JMART|JAY MART PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|SET100|www.jaymart.co.th
JMT|JMT NETWORK SERVICES PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET100|www.jmtnetwork.co.th
JTS|JASMINE TECHNOLOGY SOLUTION PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|SET|www.jts.co.th
JUBILE|JUBILEE ENTERPRISE PUBLIC COMPANY LIMITED|Consumer Products|Consumer Products|mai|www.jubileediamond.co.th
JWD|JWD INFOLOGISTICS PUBLIC COMPANY LIMITED|Services|Transportation & Logistics|sSET / SETTHSI|www.jwd-group.com
KAMART|KARMARTS PUBLIC COMPANY LIMITED|Services|Commerce|sSET|www.karmarts.co.th
KBANK|KASIKORNBANK PUBLIC COMPANY LIMITED|Financials|Banking|SET50 / SETCLMV / SETTHSI|www.kasikornbank.com
KCE|KCE ELECTRONICS PUBLIC COMPANY LIMITED|Technology|Electronic Components|SET50|www.kcethai.in.th
KEX|KERRY EXPRESS (THAILAND) PUBLIC COMPANY LIMITED|Services|Transportation & Logistics|SET100 / SETTHSI / SETWB|https://th.kerryexpress.com/th/home
KGI|KGI SECURITIES (THAILAND) PUBLIC COMPANY LIMITED|Financials|Finance & Securities|sSET|www.kgieworld.co.th
KKP|KIATNAKIN PHATRA BANK PUBLIC COMPANY LIMITED|Financials|Banking|SET100 / SETCLMV / SETHD / SETTHSI|https://bank.kkpfg.com/
KSL|KHON KAEN SUGAR INDUSTRY PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SETCLMV|www.kslgroup.com
KTB|KRUNG THAI BANK PUBLIC COMPANY LIMITED|Financials|Banking|SET50 / SETHD / SETTHSI|https://krungthai.com
KTC|KRUNGTHAI CARD PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET50 / SETTHSI|www.ktc.co.th
KYE|KANG YONG ELECTRIC PUBLIC COMPANY LIMITED|Consumer Products|Home & Office Products|SET|www.mitsubishi-kye.com
LALIN|LALIN PROPERTY PUBLIC COMPANY LIMITED|Property & Construction|Property Development|sSET|www.lalinproperty.com
LANNA|THE LANNA RESOURCES PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|sSET|www.lannar.com
LH|LAND AND HOUSES PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET50 / SETHD|www.lh.co.th
LHFG|LH FINANCIAL GROUP PUBLIC COMPANY LIMITED|Financials|Banking|SET|https://www.lhfg.co.th
LHHOTEL|LH HOTEL LEASEHOLD REAL ESTATE INVESTMENT TRUST|Property & Construction|Property Fund & REITs|SET|www.lhfund.co.th
LHK|LOHAKIT METAL PUBLIC COMPANY LIMITED|Industrials|Steel and Metal Products|SET|www.lohakit.co.th
LIT|LEASE IT PUBLIC COMPANY LIMITED|Financials|Financials|mai|www.leaseit.co.th
LPF|LOTUS'S RETAIL GROWTH FREEHOLD AND LEASEHOLD PROPERTY FUND|Property & Construction|Property Fund & REITs|SET|
LPH|LADPRAO GENERAL HOSPITAL PUBLIC COMPANY LIMITED|Services|Health Care Services|sSET|www.ladpraohospital.com
LPN|L.P.N. DEVELOPMENT PUBLIC COMPANY LIMITED|Property & Construction|Property Development|sSET / SETTHSI|www.lpn.co.th
LST|LAM SOON (THAILAND) PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|sSET|www.lamsoon.co.th
M|MK RESTAURANT GROUP PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SETWB|www.mkrestaurant.com
MACO|MASTER AD PUBLIC COMPANY LIMITED|Services|Media & Publishing|sSET|www.masterad.com
MAJOR|MAJOR CINEPLEX GROUP PUBLIC COMPANY LIMITED|Services|Media & Publishing|SET100 / SETCLMV / SETTHSI|www.majorcineplex.com
MAKRO|SIAM MAKRO PUBLIC COMPANY LIMITED|Services|Commerce|SET|www.siammakro.co.th
MBAX|MULTIBAX PUBLIC COMPANY LIMITED|Industrial|Industrial|mai|www.multibax.com
MST|MAYBANK SECURITIES (THAILAND) PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET|www.maybank-ke.co.th
MC|MC GROUP PUBLIC COMPANY LIMITED|Services|Commerce|sSET|www.mcgroupnet.com
MCS|M.C.S.STEEL PUBLIC COMPANY LIMITED|Industrials|Steel and Metal Products|sSET|www.mcssteel.com
MDX|M.D.X. PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET|www.mdx.co.th
MEGA|MEGA LIFESCIENCES PUBLIC COMPANY LIMITED|Services|Commerce|SET100 / SETCLMV / SETWB|www.megawecare.com
