Name,Market,Price,Max,Min,PE,PBV,Paid-up,Market Cap,Dly Vol,Beta
IVL,SET50 / SETTHSI    ,41.75,52.75,37.00,4.90,1.11,5614.55,234407.54,1160.03,1.05
JASIF,SET    ,8.20,11.30,7.15,999.99,0.75,78812.80,65600.00,42.55,0.58
JMART,SET50    ,42.50,64.00,39.00,21.28,3.49,1457.32,61936.08,258.95,2.06
JMT,SET50    ,69.50,88.25,58.00,58.52,4.50,729.58,101411.49,397.84,1.61
JWD,SETCLMV / SETTHSI / SETWB    ,21.40,22.60,12.50,38.44,5.76,510.00,21828.00,91.83,1.25
KBANK,SET50 / SETCLMV / SETTHSI    ,155.00,175.00,137.50,8.65,0.73,23693.28,367245.78,2724.52,0.94
KCE,SET100    ,52.00,84.00,39.75,24.41,4.77,590.98,61462.21,1662.39,1.82
KEX,SET100 / SETTHSI / SETWB    ,18.60,29.50,17.30,999.99,4.40,871.29,32411.93,46.67,1.06
KGI,sSET    ,5.05,7.25,4.50,8.03,1.36,1991.76,10058.40,12.19,0.97
KKP,SET100 / SETCLMV / SETHD / SETTHSI    ,73.75,76.25,59.50,7.62,1.17,8467.51,62447.89,485.62,0.80
KSL,sSET / SETCLMV    ,3.54,4.16,3.22,11.82,0.75,2205.12,15612.22,17.07,0.91
KTB,SET50 / SETHD / SETTHSI    ,17.70,18.40,12.90,8.11,0.68,71976.72,247376.28,1050.22,0.70
KTC,SET50 / SETTHSI    ,59.00,68.00,52.00,22.84,5.13,2578.33,152121.71,510.88,0.97
KYE,SET    ,318.00,377.00,314.00,39.15,0.81,198.00,6296.40,0.19,0.14
LALIN,sSET    ,9.20,11.80,8.35,6.34,0.99,925.00,8509.99,3.05,0.88
LANNA,sSET    ,16.90,24.60,15.90,3.11,1.21,525.00,8872.49,38.73,0.66
LH,SET50 / SETHD    ,9.80,10.10,8.00,14.05,2.36,11949.71,117107.19,345.84,0.79
LHFG,SET    ,1.24,1.69,1.00,30.51,0.73,21183.66,26267.74,18.79,1.18
LHK,SET    ,5.05,6.10,3.78,10.91,1.39,383.00,1934.15,1.10,0.72
LIT,mai    ,1.83,3.54,1.63,999.99,0.71,442.93,810.56,0.68,0.76
LPF,SET    ,12.70,14.50,12.30,999.99,1.05,23828.13,29683.49,35.80,0.28
LPH,sSET    ,5.65,6.45,5.40,12.19,2.21,360.00,4068.00,1.08,0.78
LPN,sSET    ,4.60,5.30,4.06,11.03,0.57,1454.20,6689.31,14.26,0.67
M,SETWB    ,58.75,61.50,49.25,35.66,4.12,920.88,54101.59,115.73,0.83
MACO,sSET    ,0.56,1.07,0.43,999.99,1.19,811.80,4546.06,12.49,1.92
MAJOR,sSET / SETCLMV / SETTHSI    ,17.90,22.40,16.30,57.96,2.45,894.67,16014.55,60.87,0.66
MAKRO,SET    ,42.50,43.75,32.00,31.40,1.56,5290.16,449663.75,918.96,1.16
MBAX,mai    ,5.20,6.75,4.96,6.01,1.67,191.90,997.85,1.55,0.64
MC,sSET    ,11.00,11.30,8.70,15.08,2.30,396.00,8712.00,12.89,0.66
MCS,sSET    ,9.60,15.00,8.50,9.60,1.17,477.00,4579.20,11.33,0.46
MEGA,SET100 / SETCLMV / SETTHSI / SETWB    ,49.00,55.25,40.25,18.27,5.01,435.93,42721.61,217.94,1.14
MINT,SET50 / SETCLMV / SETTHSI    ,34.00,36.25,24.10,219.15,2.48,5275.01,179350.50,1010.53,1.33
MST,SET    ,11.40,14.80,10.80,10.49,1.34,2854.07,6507.29,0.34,0.52
MTC,SET50 / SETTHSI    ,41.25,61.00,32.50,17.28,3.12,2120.00,87450.00,806.02,1.78
NER,sSET / SETTHSI    ,6.45,7.80,5.40,6.01,1.92,923.89,11918.24,51.92,0.93
NOBLE,sSET / SETTHSI    ,5.65,6.40,4.26,68.55,1.38,1369.41,7737.19,21.20,0.65
OISHI,SET    ,47.50,50.50,41.50,14.88,2.24,375.00,17812.50,0.29,0.43
ONEE,SET100    ,8.00,13.10,7.50,23.85,2.73,4762.50,19050.00,84.99,1.44
OR,SET50 / SETCLMV / SETTHSI    ,23.60,28.00,22.60,21.03,2.69,120000.00,283200.00,383.99,0.80
ORI,SET100 / SETHD / SETTHSI    ,11.90,12.70,9.20,8.23,1.79,1227.06,29204.06,124.45,1.62
OSP,SET50 / SETCLMV / SETHD / SETTHSI / SETWB    ,30.00,38.25,24.80,36.81,5.01,3003.75,90112.50,378.51,1.03
PAP,SET    ,3.94,6.90,3.58,999.99,1.25,660.00,2600.40,1.17,0.70
PCSGH,SET    ,5.05,6.05,4.80,14.95,1.64,1525.00,7701.25,0.20,0.48
PDG,mai    ,3.46,3.92,3.36,20.12,1.77,148.50,1027.62,0.14,0.25
PLANB,SET100 / SETTHSI    ,8.45,8.75,5.65,58.96,4.53,427.93,36160.45,338.86,1.35
POPF,SET    ,11.30,12.70,11.10,999.99,1.03,4816.39,5442.52,3.25,0.27
PREB,SET    ,8.55,9.10,7.65,6.39,1.06,308.68,2639.18,3.58,0.41
PRM,sSET    ,7.70,7.75,4.90,11.33,1.88,2500.00,19250.00,106.75,1.36
PSH,SETTHSI    ,13.30,15.60,11.80,11.24,0.68,2188.50,29107.12,15.66,0.69
